Year,NG,Solar,Wind,Retire,Total
2012,0,57,1095,1401,109568
2013,455.4,49,402,1649,109584
2014,2569.8,48,1629,1340,112914
2015,1627.6,121,3129,973,117144
2016,943,277,1805,2150,118722
2017,2703.5,502,3035,714,123512
2018,785.5,789,1079,4708,122159
2019,106.2,425,2083,1618,125117
2020,113.2,1692,1261,994,128947
