Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,22.554932795698925,21.105617816091954,22.946904441453565,27.404902777777775,23.386787634408602,32.26625,29.79771505376344,38.84340053763441,27.646402777777777,27.783978494623653,29.08847434119279,25.84537634408602
HB_HOUSTON,23.004193548387097,21.393893678160918,23.515612382234185,27.845000000000002,23.992258064516133,32.518166666666666,29.720255376344085,38.338884408602155,28.218458333333334,27.86716397849462,28.92789181692094,25.807983870967742
HB_HUBAVG,22.051975806451612,20.665402298850577,22.322866756393,27.201152777777775,23.16567204301075,32.076347222222225,29.64532258064516,38.74466397849462,27.593611111111112,27.73720430107527,28.86140083217753,25.63569892473118
HB_NORTH,22.911061827956992,21.448706896551723,23.30547779273217,27.41925,23.588279569892475,32.52773611111111,29.94483870967742,39.220309139784945,27.64143055555556,27.752970430107524,29.237184466019414,25.81375
HB_SOUTH,23.17896505376344,21.344310344827587,23.774320323014805,28.030569444444442,23.102432795698924,31.712847222222223,29.41502688172043,37.57625,27.76476388888889,27.904905913978496,29.64495145631068,27.09904569892473
HB_WEST,19.098306451612903,18.468563218390806,18.691763122476445,25.499569444444443,21.960913978494624,31.52779166666667,29.425322580645158,39.81173387096774,26.737166666666663,27.408911290322582,27.651872399445214,23.808185483870968
LZ_AEN,22.96361559139785,21.377528735632183,23.527308209959624,27.821666666666665,23.665819892473117,30.552736111111113,29.72366935483871,38.13735215053763,27.95848611111111,27.792876344086025,28.993300970873783,25.77567204301075
LZ_CPS,23.05864247311828,21.517370689655174,23.661184387617762,29.222541666666665,25.93219086021505,33.55990277777778,29.90646505376344,38.077029569892474,28.12852777777778,28.122284946236558,29.14342579750347,25.926021505376344
LZ_HOUSTON,23.048077956989246,21.395474137931036,23.514158815612383,27.915875,24.429005376344087,32.665527777777775,29.832701612903225,38.41692204301075,29.091597222222223,28.229569892473116,28.97031900138696,25.84561827956989
LZ_LCRA,23.001545698924733,21.534410919540232,23.588627187079407,28.272569444444443,24.62684139784946,43.803333333333335,31.301250000000003,41.48689516129032,29.148083333333332,27.823481182795696,29.026019417475727,25.955658602150535
LZ_NORTH,22.89536290322581,21.442744252873563,23.449327052489902,27.514833333333335,23.958696236559142,32.96273611111111,30.14861559139785,39.520403225806454,27.79468055555555,27.847997311827957,29.34145631067961,25.881706989247313
LZ_RAYBN,22.901290322580646,21.462988505747127,24.073028263795422,27.66633333333333,24.160174731182792,33.433680555555554,30.292459677419355,39.20735215053764,27.54186111111111,27.81967741935484,29.486144244105407,25.956989247311828
LZ_SOUTH,23.62143817204301,21.25587643678161,24.442301480484524,28.858777777777778,24.35048387096774,34.712666666666664,30.413629032258065,39.63693548387097,28.590541666666663,28.64923387096774,31.1324826629681,29.464798387096774
LZ_WEST,20.309408602150537,20.11066091954023,22.497577388963663,33.52752777777778,32.439327956989246,43.96598611111111,49.58373655913979,60.72926075268817,37.30201388888889,48.007352150537635,44.41084604715673,26.998454301075267
