Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,25.050631720430104,24.029880952380953,26.08651413189771,23.749819444444444,24.039731182795702,24.664,29.62870967741935,45.729354838709675,24.628791666666665,21.21244623655914,19.283675450762832,17.97416666666667
HB_HOUSTON,25.175013440860212,24.14974702380952,25.88114401076716,24.15136111111111,24.631854838709675,25.291638888888887,30.098575268817203,46.7583064516129,24.63886111111111,22.076276881720432,19.655520110957003,19.575752688172045
HB_HUBAVG,25.082137096774193,24.077589285714286,26.029071332436068,23.813375,24.166545698924732,24.809569444444442,29.708373655913977,45.95217741935484,24.643527777777777,21.38817204301075,19.253106796116505,18.254986559139784
HB_NORTH,24.999771505376348,23.934925595238095,26.244293405114398,23.61865277777778,23.785967741935483,24.323402777777776,29.461908602150537,45.29633064516129,24.579972222222224,20.818817204301077,19.196088765603328,17.438467741935483
HB_SOUTH,25.08548387096774,24.15936011904762,25.744320323014804,23.904541666666667,24.336693548387096,25.225,29.820255376344086,46.20868279569893,24.761944444444442,21.73627688172043,19.699209431345352,18.47563172043011
HB_WEST,25.068104838709676,24.06354166666667,26.244131897711977,23.579375000000002,23.9140188172043,24.382916666666667,29.45061827956989,45.53645161290323,24.58976388888889,20.914610215053763,18.461969486823854,17.530389784946237
LZ_AEN,25.748951612903227,25.181622023809524,26.948384925975777,25.461041666666667,25.999139784946237,27.288194444444443,30.3415188172043,46.19590053763441,24.75975,21.185255376344085,19.430790568654647,18.28497311827957
LZ_CPS,25.539166666666667,24.707767857142855,26.777806191117094,24.879541666666668,24.609287634408602,26.074333333333335,30.4580376344086,46.24904569892473,25.12134722222222,22.15833333333333,20.118391123439668,18.5167876344086
LZ_HOUSTON,25.265779569892477,24.27732142857143,25.959582772543744,24.273347222222224,24.700806451612905,25.457500000000003,30.658387096774195,47.55534946236559,24.834944444444446,22.278494623655916,19.699958391123438,19.774865591397848
LZ_LCRA,25.30627688172043,24.899747023809525,26.576796769851953,24.569041666666667,24.436384408602148,25.689944444444443,29.87888440860215,46.051572580645164,24.726930555555555,21.300362903225807,19.355644937586685,18.305067204301075
LZ_NORTH,25.10486559139785,24.038720238095237,26.40366083445491,23.728055555555557,24.14323924731183,24.639833333333335,29.81483870967742,45.51759408602151,24.920458333333332,21.076666666666668,19.23984743411928,17.512029569892473
LZ_RAYBN,25.149798387096777,24.036517857142858,26.419623149394347,23.703486111111108,23.90422043010753,24.583972222222222,29.96711021505376,45.49145161290323,24.771763888888888,20.839368279569893,19.389306518723995,17.53920698924731
LZ_SOUTH,25.764193548387098,25.214077380952382,26.91029609690444,24.66708333333333,24.775013440860217,28.247819444444445,30.77670698924731,46.98897849462366,26.642583333333334,23.234852150537634,20.117988904299583,19.065752688172044
LZ_WEST,27.267956989247313,25.199657738095237,27.054481830417227,25.905055555555556,26.35688172043011,27.890638888888887,32.86395161290322,46.70177419354839,25.84152777777778,21.72125,18.598002773925103,17.971922043010753
