Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,25.974986559139783,24.89625,30.3864199192463,33.39318055555555,33.15264784946236,35.477583333333335,33.32690860215054,36.05442204301075,33.99626388888889,30.84163978494624,30.57281553398058,35.38625
HB_HOUSTON,26.12709677419355,25.085788690476193,30.74631224764468,33.91959722222222,34.16110215053764,37.16723611111111,33.88341397849462,36.12416666666667,35.50841666666667,34.59926075268817,30.744341192787793,35.35549731182796
HB_HUBAVG,25.76279569892473,24.647886904761908,29.987819650067294,32.992305555555554,33.18397849462366,35.74772222222222,33.53077956989247,36.27887096774194,34.40211111111111,31.57662634408602,30.610360610263523,35.37170698924731
HB_NORTH,26.18584677419355,25.120312499999997,30.73265141318977,33.80886111111111,33.05182795698925,34.96061111111111,33.06487903225806,35.83885752688172,33.436902777777775,29.728978494623657,30.463994452149795,35.421236559139786
HB_SOUTH,26.01153225806452,24.96720238095238,30.518775235531628,33.62658333333333,33.57646505376344,36.25226388888889,33.38736559139785,35.819825268817205,34.30755555555555,32.23145161290323,30.893966712898752,35.303225806451614
HB_WEST,24.71442204301075,23.41110119047619,27.947429340511437,30.610958333333333,31.93336021505376,34.590069444444445,33.78810483870968,37.330793010752686,34.355111111111114,29.746532258064512,30.33882108183079,35.40454301075269
LZ_AEN,26.149879032258063,25.223526785714284,30.625531628532976,33.58763888888889,33.68056451612903,39.432,36.101290322580645,36.3825,34.21458333333333,31.673306451612902,31.497864077669902,37.016478494623655
LZ_CPS,26.476370967741932,25.355059523809523,31.0364199192463,34.477624999999996,35.31114247311828,38.075944444444445,34.216841397849464,36.56420698924731,36.11448611111111,33.528064516129035,31.15854368932039,35.66868279569893
LZ_HOUSTON,26.18545698924731,25.10644345238095,30.78391655450875,33.977375,34.43096774193548,37.44394444444444,34.00877688172043,36.31116935483871,35.726277777777774,34.832903225806454,30.775423023578366,35.36711021505376
LZ_LCRA,26.326962365591395,25.12809523809524,30.703539703903093,33.61002777777778,33.49161290322581,37.37872222222222,34.452459677419355,36.3059811827957,34.64833333333333,32.143024193548385,30.91890429958391,35.78658602150538
LZ_NORTH,26.4617876344086,25.449538690476192,31.421628532974427,34.921124999999996,33.49783602150538,35.20234722222222,33.16630376344086,36.0045564516129,33.572111111111106,29.845309139784945,30.537947295423024,35.54840053763441
LZ_RAYBN,26.787701612903223,25.866249999999997,32.28827725437416,36.08925,33.98494623655914,35.04326388888889,33.00944892473118,35.82318548387097,33.442249999999994,29.82563172043011,30.598945908460472,35.647513440860216
LZ_SOUTH,26.1157123655914,24.984449404761904,30.601938088829073,34.22865277777778,35.90384408602151,37.798208333333335,34.38366935483871,36.89891129032258,35.00636111111111,32.713266129032256,31.3972399445215,36.05193548387097
LZ_WEST,27.586034946236555,24.853392857142858,31.485343203230148,38.6295,50.27254032258064,44.93568055555556,39.67350806451613,50.628588709677416,47.28969444444445,37.82479838709678,31.149056865464633,35.849099462365594
