Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,23.252782258064517,20.11782738095238,22.569892328398385,23.705083333333334,25.087352150537637,27.66915277777778,31.454274193548386,27.50701612903226,24.184166666666666,23.563279569892476,22.66650485436893,21.18795698924731
HB_HOUSTON,24.781854838709677,23.265714285714285,28.213297442799462,32.29573611111111,31.533172043010754,33.16834722222222,34.37583333333333,29.401720430107527,26.54294444444444,30.141236559139788,26.08377253814147,21.549005376344088
HB_HUBAVG,23.325551075268816,20.352127976190474,23.233230148048452,24.830486111111114,25.90502688172043,28.513847222222225,31.864408602150537,27.83861559139785,24.519694444444443,24.701451612903227,23.156962552011095,21.209852150537632
HB_NORTH,22.991854838709674,19.448199404761905,21.22777927321669,21.410555555555558,23.419919354838708,25.890569444444445,30.654314516129034,26.832728494623655,23.346111111111114,21.40590053763441,21.584063800277395,20.952997311827957
HB_SOUTH,23.62481182795699,21.079360119047617,23.680753701211305,25.609402777777778,26.495013440860216,29.654694444444445,32.1294623655914,28.31502688172043,25.51509722222222,25.563655913978497,23.966518723994454,21.99791666666667
HB_WEST,21.901720430107527,17.61668154761905,19.813593539703902,19.99609722222222,22.166612903225804,25.331694444444445,30.293642473118283,26.81704301075269,22.678819444444443,21.693830645161288,20.99116504854369,20.338037634408604
LZ_AEN,23.404475806451615,20.60532738095238,22.99701211305518,24.118083333333335,25.293844086021505,27.916638888888887,31.401438172043008,27.46561827956989,24.62880555555556,24.019905913978498,23.00879334257975,21.06293010752688
LZ_CPS,23.772567204301076,20.919479166666665,23.861547779273216,25.337902777777778,26.53702956989247,30.416,32.11529569892473,28.137567204301074,25.136652777777776,25.27595430107527,23.562066574202497,22.04837365591398
LZ_HOUSTON,24.82736559139785,23.51721726190476,28.742005383580082,32.96706944444445,32.36264784946237,33.66891666666667,34.725833333333334,30.031478494623652,27.410027777777778,31.339381720430108,26.33171983356449,21.979784946236556
LZ_LCRA,23.43627688172043,20.66081845238095,23.437133243607,24.47741666666667,25.63795698924731,28.639083333333332,31.905712365591395,27.67801075268817,24.813430555555552,24.484260752688172,23.036740638002776,21.11766129032258
LZ_NORTH,23.60302419354839,19.550014880952382,21.83940780619112,21.975805555555556,24.557513440860216,26.893736111111114,31.18684139784946,27.060362903225805,23.96840277777778,21.938427419354838,22.250596393897364,21.408131720430106
LZ_RAYBN,23.39010752688172,20.369151785714287,21.907160161507402,22.213430555555554,24.001330645161293,26.125041666666664,30.760497311827958,26.8248252688172,23.535680555555555,21.379932795698924,21.816463245492372,21.31260752688172
LZ_SOUTH,25.155483870967743,21.793690476190477,26.528209959623148,28.549888888888887,29.979731182795696,36.78344444444445,34.19329301075269,33.45784946236559,28.33034722222222,28.464018817204302,27.850651872399446,25.40422043010753
LZ_WEST,23.231370967741935,18.47705357142857,20.251197846567965,20.388569444444446,22.86779569892473,27.512319444444444,31.130174731182795,27.21391129032258,27.011777777777777,22.17331989247312,22.14083217753121,21.872258064516128
