Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
LZ_AEN,38.83798387096774,21.913883928571423,22.2028263795424,22.18848611111111,33.16616935483871,30.286125,78.95137096774194,31.732137096774192,27.167305555555554,30.31,30.456130374479887,30.094758064516128
LZ_CPS,41.31287634408602,22.51739583333333,25.2892732166891,26.535375,36.05559139784946,30.727277777777772,79.12443548387097,31.86568548387097,27.512986111111108,31.635967741935485,32.027045769764214,30.30922043010753
LZ_HOUSTON,38.04498655913979,22.375848214285718,23.933458950201885,24.728347222222222,35.53303763440861,31.80234722222222,79.56653225806451,32.159623655913975,27.722416666666668,31.781115591397853,31.71661581137309,30.46206989247312
LZ_NORTH,37.72852150537634,21.84046130952381,22.64055181695828,24.366888888888887,37.45188172043011,31.30161111111111,79.84618279569892,31.971586021505377,27.885847222222225,31.645416666666662,31.96005547850208,31.13194892473118
LZ_SOUTH,46.13256720430107,25.19703869047619,26.759973082099595,28.18697222222222,41.27442204301075,32.25868055555556,80.44756720430107,33.69063172043011,28.38376388888889,32.12697580645161,33.52826629680999,32.11272849462365
LZ_WEST,37.29330645161291,22.12410714285714,22.30162853297443,21.128125,49.60012096774193,57.96752777777778,101.47096774193548,33.289852150537634,27.101097222222226,30.004556451612903,31.21099861303745,34.98084677419355
