Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,16.760913978494624,17.80228448275862,22.877254374158813,19.92451388888889,18.420349462365593,18.876472222222223,22.733951612903226,39.21284946236559,19.043277777777778,23.291061827956987,23.344549237170593,20.57709677419355
HB_HOUSTON,17.024623655913977,17.694497126436783,23.98994616419919,20.874416666666665,19.710349462365592,19.674777777777777,23.94032258064516,39.969086021505376,20.002972222222223,25.053091397849464,25.399167822468794,21.191263440860215
HB_HUBAVG,16.58247311827957,17.73617816091954,22.52913862718708,19.737,18.448319892473116,18.82173611111111,22.707123655913975,39.18403225806451,19.09334722222222,22.85861559139785,22.83149791955617,20.341827956989246
HB_NORTH,16.961451612903225,17.713031609195404,23.053230148048453,19.90341666666667,18.23282258064516,18.948444444444444,22.989139784946236,39.18420698924731,18.97958333333333,23.3569623655914,23.7275866851595,20.891182795698924
HB_SOUTH,16.7044623655914,18.414209770114944,23.065921938088827,20.572208333333332,18.693655913978496,18.662875,21.579717741935482,39.13119623655914,18.863111111111113,24.7683064516129,23.835686546463243,20.294408602150536
HB_WEST,15.639610215053764,17.1230316091954,20.007039030955585,17.597791666666666,17.157177419354838,18.000527777777776,22.318145161290325,38.45120967741936,18.52772222222222,18.25608870967742,18.363162274618585,18.99013440860215
LZ_AEN,17.229139784946234,18.64610632183908,23.53056527590848,21.45145833333333,18.80307795698925,18.833569444444443,22.00790322580645,39.043225806451616,19.371402777777778,25.824314516129032,24.631705963938973,27.0334811827957
LZ_CPS,17.80470430107527,19.57402298850575,24.46169582772544,21.64563888888889,19.89494623655914,19.57223611111111,22.730819892473118,39.01627688172043,19.247527777777776,26.395833333333332,24.093356449375868,20.842930107526882
LZ_HOUSTON,17.22409946236559,17.756738505747126,24.20043068640646,20.93283333333333,19.806706989247314,19.753416666666666,24.07157258064516,40.06180107526882,20.070875,25.32913978494624,25.397780859916782,21.19451612903226
LZ_LCRA,17.148924731182795,18.73330459770115,23.84394347240915,21.118041666666667,18.73923387096774,18.78227777777778,22.651236559139786,39.16637096774193,19.193791666666666,24.775376344086023,23.926740638002773,21.61198924731183
LZ_NORTH,17.190443548387098,17.895890804597702,23.497537012113053,20.237972222222222,18.49138440860215,19.439666666666668,23.34587365591398,39.55028225806451,19.11572222222222,24.138454301075267,24.12876560332871,21.126236559139784
LZ_RAYBN,17.435577956989246,18.21985632183908,24.34336473755047,20.874555555555556,18.547190860215053,19.230652777777777,23.29893817204301,39.46067204301075,19.038277777777775,24.699274193548383,25.930166435506244,21.89508064516129
LZ_SOUTH,17.528534946236558,19.204051724137933,23.43979811574697,21.598430555555556,20.10317204301075,19.232444444444447,25.014193548387098,66.41858870967742,20.066125,28.897930107526882,26.684951456310678,20.76844086021505
LZ_WEST,23.465793010752687,53.405775862068964,66.71437415881562,22.198847222222224,19.189341397849464,18.706069444444445,22.895873655913977,38.709999999999994,20.38163888888889,24.339663978494624,29.67061026352288,25.76088709677419
