Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,36.577325268817205,51.014062499999994,49.95301480484522,40.36911111111111,36.292016129032255,39.953472222222224,36.20626344086021,39.62432795698925,34.13194444444444,34.817110215053766,34.14619972260749,26.555228494623655
HB_HOUSTON,36.30478494623656,50.40772321428571,49.91148048452221,40.94393055555555,38.43069892473118,41.01788888888889,36.94694892473118,40.66424731182796,34.874249999999996,34.75043010752688,33.71654646324549,26.530940860215054
HB_HUBAVG,36.50834677419355,50.91116071428572,49.95308209959623,40.456722222222226,36.63524193548387,40.07476388888889,36.289986559139784,39.736559139784944,34.26479166666667,34.83224462365591,33.94210818307906,26.55225806451613
HB_NORTH,36.71447580645161,51.29869047619048,49.91148048452221,40.29222222222222,35.77060483870968,39.728902777777776,36.021518817204296,39.33005376344086,33.86580555555555,34.69405913978495,34.53343966712899,26.568991935483872
HB_SOUTH,36.19819892473118,50.20026785714286,50.13923283983849,40.23605555555555,36.44006720430107,40.065041666666666,36.435913978494625,40.046290322580646,34.41334722222222,35.23451612903226,33.696366158113726,26.528252688172042
HB_WEST,36.80860215053763,51.72191964285714,49.846177658142665,40.34648611111111,35.904448924731184,39.48744444444444,35.81020161290323,38.90155913978494,33.901097222222226,34.57467741935484,33.8219972260749,26.580927419354836
LZ_AEN,39.638669354838704,54.26555059523809,51.2006998654105,40.36519444444444,36.33077956989247,40.515319444444444,37.319475806451614,41.797540322580645,34.797375,35.371626344086025,34.347059639389734,26.827849462365588
LZ_CPS,37.45725806451613,51.40563988095238,50.30757738896366,40.96761111111111,39.123817204301076,40.91497222222222,37.05943548387097,40.16770161290323,34.71933333333333,35.12552419354839,34.03832177531207,26.59043010752688
LZ_HOUSTON,36.33923387096774,50.50412202380952,50.02022880215343,41.33511111111111,38.79512096774194,41.098749999999995,36.988400537634405,40.705470430107525,35.85681944444445,38.0984811827957,34.823106796116505,26.563225806451616
LZ_LCRA,38.81538978494624,57.06834821428571,50.920161507402426,41.59965277777778,37.92452956989247,41.33354166666667,39.17236559139785,40.82073924731183,34.63256944444444,35.01819892473118,33.92930651872399,26.627983870967743
LZ_NORTH,36.8125,51.50058035714286,50.28056527590848,40.43380555555556,36.06341397849462,39.82756944444444,36.1110752688172,39.488803763440856,33.95702777777778,34.95209677419355,35.54746185852982,26.701075268817203
LZ_RAYBN,36.872190860215056,51.62599702380952,50.71394347240915,40.572319444444446,35.924059139784944,39.741597222222225,36.03948924731183,39.214274193548384,33.860458333333334,34.90881720430107,36.08900138696255,26.68729838709677
LZ_SOUTH,38.241236559139786,54.11199404761905,52.37690444145357,40.76606944444445,37.54536290322581,40.39405555555556,37.095524193548385,40.708561827956984,36.54325,47.662486559139786,33.935783633841886,26.615215053763443
LZ_WEST,37.007513440860215,53.60903273809523,52.206904441453574,58.64443055555555,43.246330645161294,43.99402777777778,40.292849462365595,43.138413978494626,37.11227777777778,45.13907258064516,36.02540915395284,28.301666666666666
