Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
LZ_AEN,39.638669354838704,54.26555059523809,51.2006998654105,40.36519444444444,36.33077956989247,40.51531944444445,37.319475806451614,41.797540322580645,34.797375,35.371626344086025,34.347059639389734,26.827849462365588
LZ_CPS,37.45725806451613,51.40563988095238,50.30757738896366,40.96761111111111,39.12381720430108,40.91497222222222,37.05943548387097,40.16770161290323,34.71933333333333,35.12552419354839,34.03832177531207,26.59043010752688
LZ_HOUSTON,36.33923387096774,50.50412202380952,50.02022880215343,41.33511111111111,38.79512096774194,41.09875,36.988400537634405,40.705470430107525,35.85681944444445,38.0984811827957,34.823106796116505,26.563225806451616
LZ_NORTH,36.8125,51.50058035714286,50.28056527590848,40.43380555555556,36.06341397849462,39.82756944444444,36.1110752688172,39.488803763440856,33.95702777777778,34.95209677419355,35.54746185852982,26.701075268817203
LZ_SOUTH,38.241236559139786,54.11199404761905,52.37690444145357,40.76606944444445,37.54536290322581,40.39405555555556,37.09552419354839,40.70856182795698,36.54325,47.662486559139786,33.935783633841886,26.615215053763443
LZ_WEST,37.007513440860215,53.60903273809523,52.20690444145357,58.64443055555555,43.246330645161294,43.99402777777778,40.2928494623656,43.13841397849463,37.11227777777778,45.13907258064516,36.02540915395284,28.301666666666662
