Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,37.869677419354836,21.854315476190475,22.561978465679676,23.142958333333333,34.00524193548387,29.966125,78.85944892473118,31.66155913978495,27.175444444444445,29.95782258064516,30.632122052704574,30.268185483870965
HB_HOUSTON,37.94478494623656,22.164107142857144,23.782543741588157,24.652694444444442,34.14755376344086,30.62848611111111,79.03404569892473,31.944247311827958,27.581361111111114,30.98193548387097,31.306061026352292,30.333548387096773
HB_HUBAVG,37.7730376344086,21.830059523809524,22.40343203230148,22.450305555555556,32.834852150537635,29.78186111111111,78.8323252688172,31.694583333333334,27.05302777777778,29.889112903225808,30.265325936199723,30.191989247311827
HB_NORTH,37.58590053763441,21.76702380952381,22.608008075370122,23.522916666666667,35.30614247311828,30.21188888888889,78.96845430107527,31.603051075268816,27.29963888888889,30.034166666666664,31.221844660194176,30.398266129032258
HB_SOUTH,39.498145161290324,22.30639880952381,22.888452220726784,24.471888888888888,34.226075268817205,30.068638888888888,78.84737903225806,31.66752688172043,27.189805555555555,29.772513440860216,29.82540915395284,30.089301075268814
HB_WEST,36.05163978494624,21.08760416666667,20.333620457604304,17.156625000000002,27.692016129032258,28.277027777777775,78.51755376344086,31.560120967741934,26.13959722222222,28.76133064516129,28.705700416088767,29.944005376344087
LZ_AEN,38.83798387096774,21.913883928571426,22.202826379542397,22.18848611111111,33.16616935483871,30.286125,78.95137096774194,31.732137096774192,27.167305555555554,30.31,30.456130374479887,30.094758064516128
LZ_CPS,41.31287634408602,22.517395833333335,25.2892732166891,26.535375000000002,36.05559139784946,30.727277777777775,79.12443548387097,31.86568548387097,27.512986111111108,31.635967741935485,32.027045769764214,30.30922043010753
LZ_HOUSTON,38.04498655913979,22.375848214285714,23.933458950201885,24.728347222222222,35.53303763440861,31.80234722222222,79.56653225806451,32.159623655913975,27.722416666666668,31.781115591397853,31.716615811373092,30.462069892473117
LZ_LCRA,38.992567204301075,21.762247023809522,22.05130551816958,22.64402777777778,34.73540322580645,30.365555555555556,79.06994623655915,31.807970430107527,27.187263888888893,30.069879032258065,30.503730929264908,30.58266129032258
LZ_NORTH,37.72852150537634,21.84046130952381,22.64055181695828,24.366888888888887,37.45188172043011,31.30161111111111,79.84618279569892,31.971586021505377,27.885847222222225,31.645416666666666,31.96005547850208,31.13194892473118
LZ_RAYBN,39.37014784946236,22.403169642857144,23.8057065948856,27.198874999999997,40.95125,31.94558333333333,84.90190860215054,32.51872311827957,27.68088888888889,30.624959677419355,33.43632454923717,31.55353494623656
LZ_SOUTH,46.13256720430107,25.19703869047619,26.759973082099595,28.18697222222222,41.27442204301075,32.25868055555556,80.44756720430107,33.69063172043011,28.38376388888889,32.12697580645161,33.52826629680999,32.11272849462365
LZ_WEST,37.29330645161291,22.12410714285714,22.30162853297443,21.128125,49.60012096774193,57.96752777777778,101.47096774193548,33.289852150537634,27.101097222222222,30.004556451612903,31.21099861303745,34.98084677419355
