Bus_Number,Bus_Name,LZ_Name,,,,,,,,,,,,,,,,,,,
97,Fort Worth 12 345,North,,,,,,,,,,,,,,,,,,,
74,Snyder 2 345,"West
West",,,,,,,,,,,,,,,,,,,
11,Weatherford 3 345,North,,,,,,,,,,,,,,,,,,,
13,Dallas 10 345,North,,,,,,,,,,,,,,,,,,,
109,Dallas 3 345,North,,,,,,,,,,,,,,,,,,,
60,Weatherford 2 345,North,,,,,,,,,,,,,,,,,,,
20,Dallas 8 345,North,,,,,,,,,,,,,,,,,,,
27,Fort Worth 16 345,North,,,,,,,,,,,,,,,,,,,
102,Weatherford 4 345,North,,,,,,,,,,,,,,,,,,,
104,North Richland Hills 1 345,North,,,,,,,,,,,,,,,,,,,
12,Odonnell 345,"West
West",,,,,,,,,,,,,,,,,,,
14,O'Donnell 345,"West
West",,,,,,,,,,,,,,,,,,,
101,Coppell 345,North,,,,,,,,,,,,,,,,,,,
10,Rowlett 1 345,North,,,,,,,,,,,,,,,,,,,
35,Rule 2 345,"West
West",,,,,,,,,,,,,,,,,,,
114,Plano 2 345,North,,,,,,,,,,,,,,,,,,,
76,Allen 1 345,North,,,,,,,,,,,,,,,,,,,
87,Throckmorton 345,"West
West",,,,,,,,,,,,,,,,,,,
6,Prosper 345,North,,,,,,,,,,,,,,,,,,,
93,Loving 345,North,,,,,,,,,,,,,,,,,,,
82,Blue Ridge 345,North,,,,,,,,,,,,,,,,,,,
120,Knox City 345,"West
West",,,,,,,,,,,,,,,,,,,
58,Electra 345,"West
West",,,,,,,,,,,,,,,,,,,
16,Adrian 1 345,"West
West",,,,,,,,,,,,,,,,,,,
121,Adrian 1 345,"West
West",,,,,,,,,,,,,,,,,,,
75,Panhandle 3 345,"West
West",,,,,,,,,,,,,,,,,,,
2,Wheeler 345,"West
West",,,,,,,,,,,,,,,,,,,
